Наименование ДП,Факт. 1,Факт. 2,Факт. 3,Факт. 4,Факт. 5,Факт. 6,Факт. 7,Факт. 8,Факт. 9,Факт. 10,Факт. 11,Факт. 12,Факт. 13,Факт. 14,Факт. 15,Факт. 16,Факт. 17,Факт. 18,Факт. 19,Факт. 20,Факт. 21,Факт. 22,Факт. 23,Факт. 24,Факт. 25,Факт. 26,Факт. 27,Факт. 28,Факт. 29,Факт. 30,Факт. 31,Факт. 32,Факт. 33,Факт. 34,Факт. 35,Факт. 36,Факт. 37,Факт. 38,Факт. 39,Факт. 40,Факт. 41,Факт. 42,Факт. 43,Факт. 44,Факт. 45,Факт. 46,Факт. 47,Факт. 48,Факт. 49,Факт. 50,Факт. 51,Факт. 52,Факт. 53,Факт. 54,Факт. 55,Факт. 56,Факт. 57,Факт. 58,Факт. 59,Факт. 60,Итого,"Макс. ПДЗ за 2020 год, дней","Сред. ПДЗ за 2020 год, дней","Кол-во просрочек свыше 5-ти дней за 2020 год, шт.","Общая сумма ПДЗ свыше 5-ти дней за 2020 год, руб.","Кол-во раз ПДЗ за 2020 год, шт.","2016, Нематериальные активы, RUB","2017, Нематериальные активы, RUB","2018, Нематериальные активы, RUB","2019, Нематериальные активы, RUB","2016, Основные средства , RUB","2017, Основные средства , RUB","2018, Основные средства , RUB","2019, Основные средства , RUB","2016, Внеоборотные активы, RUB","2017, Внеоборотные активы, RUB","2018, Внеоборотные активы, RUB","2019, Внеоборотные активы, RUB","2016, Дебиторская задолженность, RUB","2017, Дебиторская задолженность, RUB","2018, Дебиторская задолженность, RUB","2019, Дебиторская задолженность, RUB","2016, Оборотные активы, RUB","2017, Оборотные активы, RUB","2018, Оборотные активы, RUB","2019, Оборотные активы, RUB","2016, Уставный капитал , RUB","2017, Уставный капитал , RUB","2018, Уставный капитал , RUB","2019, Уставный капитал , RUB","2016, Капитал и резервы, RUB","2017, Капитал и резервы, RUB","2018, Капитал и резервы, RUB","2019, Капитал и резервы, RUB","2016, Заёмные средства (долгосрочные), RUB","2017, Заёмные средства (долгосрочные), RUB","2018, Заёмные средства (долгосрочные), RUB","2019, Заёмные средства (долгосрочные), RUB","2016, Долгосрочные обязательства, RUB","2017, Долгосрочные обязательства, RUB","2018, Долгосрочные обязательства, RUB","2019, Долгосрочные обязательства, RUB","2016, Заёмные средства (краткосрочные), RUB","2017, Заёмные средства (краткосрочные), RUB","2018, Заёмные средства (краткосрочные), RUB","2019, Заёмные средства (краткосрочные), RUB","2016, Кредиторская задолженность, RUB","2017, Кредиторская задолженность, RUB","2018, Кредиторская задолженность, RUB","2019, Кредиторская задолженность, RUB","2016, Краткосрочные обязательства, RUB","2017, Краткосрочные обязательства, RUB","2018, Краткосрочные обязательства, RUB","2019, Краткосрочные обязательства, RUB","2016, Выручка, RUB","2017, Выручка, RUB","2018, Выручка, RUB","2019, Выручка, RUB","2016, Себестоимость продаж, RUB","2017, Себестоимость продаж, RUB","2018, Себестоимость продаж, RUB","2019, Себестоимость продаж, RUB","2016, Прибыль (убыток) до налогообложения , RUB","2017, Прибыль (убыток) до налогообложения , RUB","2018, Прибыль (убыток) до налогообложения , RUB","2019, Прибыль (убыток) до налогообложения , RUB","2016, Прибыль (убыток) от продажи, RUB","2017, Прибыль (убыток) от продажи, RUB","2018, Прибыль (убыток) от продажи, RUB","2019, Прибыль (убыток) от продажи, RUB"
394,Х,100,100,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,100,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,310.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,343312.101910828,305095.5414012739,375796.178343949,333757.9617834395,343312.101910828,305095.5414012739,375796.178343949,333757.9617834395,1617197.452229299,1575159.23566879,1494267.515923567,3407643.312101911,3712101.910828026,5216560.50955414,7207006.369426751,8854140.127388535,6369.426751592357,6369.426751592357,6369.426751592357,6369.426751592357,3049044.585987261,4061783.439490446,5575159.23566879,6771974.522292993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1006369.426751592,1459872.611464968,2007643.312101911,2415923.566878981,1006369.426751592,1459872.611464968,2007643.312101911,2415923.566878981,22771974.522293,25483439.49044586,33923566.87898089,34966878.98089172,19390445.85987261,21475796.17834395,28800636.94267516,30131847.13375796,1084076.433121019,1349681.52866242,1889808.917197452,1557324.840764331,1136305.732484076,1415923.566878981,1982802.547770701,1629936.305732484
395,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,10,10,30.0,60,13.01369863013699,38,20659609.75159236,73,0.0,0.0,0.0,0.0,37390445.85987261,39108280.25477707,68234394.9044586,133824203.821656,37431210.1910828,39125477.70700637,68488535.03184713,146410191.0828025,45686624.20382165,72542038.21656051,107738216.5605096,85994904.45859872,93972611.46496814,109445222.9299363,152540764.3312102,151719745.2229299,6369.426751592357,6369.426751592357,6369.426751592357,6369.426751592357,88338216.56050955,103388535.0318471,130191719.7452229,140838853.5031847,0.0,0.0,46392356.68789808,96496815.2866242,0.0,0.0,46392356.68789808,96496815.2866242,0.0,0.0,0.0,0.0,43065605.0955414,45182165.60509554,44445222.92993631,60794267.51592357,43065605.0955414,45182165.60509554,44445222.92993631,60794267.51592357,282617197.4522293,319428025.477707,368578980.8917198,411894904.4585987,211684713.3757962,235674522.2929936,268335031.8471338,328087261.1464968,25670063.69426752,23946496.81528662,33546496.81528662,9575796.178343948,24122292.99363057,22429936.30573248,32895541.40127388,14556687.89808917
396,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,Х,Х,10.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,46066878.98089172,57626114.64968152,72040764.33121018,38320382.16560509,46066878.98089172,57626114.64968152,72040764.33121018,63286624.20382165,29079617.83439491,72235031.84713376,87254140.12738854,76912738.85350318,93505732.48407644,104008917.1974522,118775796.178344,101071974.522293,6369.426751592357,6369.426751592357,6369.426751592357,6369.426751592357,14601273.88535032,15675159.23566879,19112738.85350318,21157324.84076433,16687898.08917197,54994904.45859873,63111464.96815287,30814649.68152866,16687898.08917197,54994904.45859873,63111464.96815287,30814649.68152866,25757961.78343949,0.0,0.0,37542675.15923566,82525477.70700637,90964968.15286624,108592356.6878981,74843949.04458599,108283439.4904458,90964968.15286624,108592356.6878981,112386624.2038216,423456050.955414,404347133.7579618,411545222.9299363,307114649.6815286,328223566.8789809,332761146.4968153,355142038.2165605,271207643.3121019,976433.1210191082,1415923.566878981,3818471.337579618,2589808.917197452,9422292.993630571,9227388.535031848,11426114.64968153,3161783.439490446
397,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,Н/Д,Х,Х,Х,10,Х,Х,20.0,39,7.0,2,397936.9936305733,9,0.0,0.0,64968.15286624204,0.0,0.0,0.0,4458.598726114649,0.0,0.0,0.0,69426.75159235668,0.0,0.0,0.0,14766878.98089172,162420.3821656051,0.0,0.0,28935031.84713376,23192993.63057325,0.0,0.0,5095.541401273885,5095.541401273885,0.0,0.0,7575796.178343949,8092356.687898089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21428662.42038216,15100636.94267516,0.0,0.0,21428662.42038216,15100636.94267516,0.0,0.0,56312101.91082802,41859235.66878981,0.0,0.0,48957961.78343949,37913375.79617834,0.0,0.0,1284076.433121019,645859.8726114649,0.0,0.0,1345859.872611465,695541.4012738853
398,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,10.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,276433.1210191083,214012.7388535032,151592.3566878981,269426.7515923567,276433.1210191083,214012.7388535032,151592.3566878981,269426.7515923567,9296815.286624204,15543312.10191083,9364968.152866242,8463057.324840764,27746496.81528662,36003821.65605095,35264331.21019108,39944585.98726115,15286.62420382166,15286.62420382166,15286.62420382166,15286.62420382166,24408280.25477707,28428662.42038216,34693630.57324841,38307006.36942675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3614649.681528662,7789171.974522293,722292.9936305733,1907006.369426752,3614649.681528662,7789171.974522293,722292.9936305733,1907006.369426752,38545859.87261146,43773885.35031847,54770700.63694267,51945859.87261146,31628662.42038216,35800636.94267516,43781528.66242038,42235668.78980891,9373248.407643313,10536942.67515924,13698089.17197452,12413375.79617834,3635031.847133758,4847133.757961784,7843949.044585987,6914012.738853503
399,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,10,Х,Х,Х,Х,Х,Х,20.0,3,1.666666666666667,0,0.0,3,54140.12738853503,43312.10191082802,31847.13375796178,21019.10828025477,109345859.8726115,92122292.99363056,75956050.95541401,63266878.98089172,109400000.0,92165605.0955414,75987898.08917198,63287898.08917197,17658598.72611465,24843312.10191083,29619745.22292994,62310191.08280255,88892993.63057324,128210191.0828026,140584076.433121,189899363.0573248,6369.426751592357,6369.426751592357,6369.426751592357,6369.426751592357,48943949.04458599,50610191.08280255,52765605.0955414,55639490.44585987,95519108.28025477,85105732.48407643,59754140.12738853,101657961.7834395,95519108.28025477,85105732.48407643,117496815.2866242,159780254.77707,18471337.57961783,14035031.84713376,0.0,0.0,35358598.72611465,70624203.82165605,46310191.08280255,37766878.98089172,53829936.30573248,84659872.61146496,46310191.08280255,37766878.98089172,339113375.7961783,349144585.9872611,478323566.8789809,475998726.1146497,315533121.0191083,328440764.3312102,457975159.2356688,449761783.4394904,1337579.617834395,2424203.821656051,2843949.044585987,3684076.433121019,14377070.06369427,10833121.01910828,8459235.668789808,10100636.94267516
400,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,10,Х,Х,Х,Х,Х,Х,20.0,23,3.989247311827957,19,11232228.59872611,93,22929.93630573248,42038.21656050955,47133.75796178344,45222.92993630573,431901910.8280255,605696178.3439491,903749044.5859872,935519745.22293,432561783.4394904,606524840.7643312,905394904.4585989,937630573.2484076,56884713.37579618,123361146.4968153,103470063.6942675,211327388.5350318,358391082.8025477,501473248.4076433,473464331.2101911,1069661146.496815,86273885.35031846,86273885.35031846,86273885.35031846,86273885.35031846,410438853.5031847,454393630.5732484,492196815.2866242,534230573.2484076,115516560.5095541,267927388.5350318,388006369.4267516,501631847.133758,115598089.1719745,268828662.4203821,393756687.8980892,508456050.955414,15923566.87898089,0.0,0.0,0.0,248829936.3057325,317252229.299363,436756687.8980892,920587261.1464968,264915923.566879,384775796.178344,492905732.4840765,964605095.5414011,817735668.7898089,1600360509.55414,1908198726.114649,2133464968.152866,766366878.9808917,1484704458.598726,1765809554.140127,1898900636.942675,12004458.59872611,51192993.63057324,44770700.63694267,53254777.0700637,6897452.229299363,63386624.20382165,48572611.46496815,83909554.14012739
401,Х,Х,100,Х,Х,Х,100,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,10,10,Х,Х,Х,10,Х,Х,Х,Х,Х,Х,240.0,0,0.0,0,0.0,0,636.9426751592356,636.9426751592356,636.9426751592356,636.9426751592356,25443949.04458599,31524840.76433121,31950955.41401274,274359235.6687898,30446496.81528662,36527388.53503185,93644585.98726116,336388535.0318471,1813770063.694268,2088763694.267516,986992356.687898,1275349681.528662,2814689171.974522,3135599363.057325,1401683439.490446,2346464331.210191,1873885.350318471,1873885.350318471,1873885.350318471,1873885.350318471,163608280.2547771,173292356.6878981,180832484.0764331,345388535.0318471,186945859.8726114,212585987.2611465,222852866.2420382,0.0,188626751.5923567,214377707.0063694,224905095.5414013,72585350.31847133,0.0,0.0,0.0,268544585.9872611,2492900636.942675,2769738853.503185,1089589808.917198,1863537579.617834,2492900636.942675,2784456687.898089,1089589808.917198,2264878980.89172,2295877070.063694,4180172611.464968,4944845859.872611,1659582802.547771,2086946496.815286,3952210828.025477,4616779617.834394,1332300636.942675,7909554.140127388,16062420.3821656,15761783.43949044,14107643.31210191,109364331.2101911,125833121.0191083,149737579.6178344,114497452.2292994
402,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,10,Х,Х,Х,Х,Х,Х,20.0,4,1.5,0,0.0,10,0.0,0.0,0.0,0.0,36942.67515923567,44585.9872611465,428025.4777070063,1500636.942675159,36942.67515923567,44585.9872611465,428025.4777070063,1500636.942675159,17531210.1910828,15409554.14012739,14731210.1910828,13845859.87261146,28908280.25477707,28079617.83439491,27863057.32484076,26180891.71974522,6369.426751592357,6369.426751592357,6369.426751592357,0.0,17253503.18471337,17413375.79617834,17601273.88535032,17824203.82165605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6507006.369426752,3722929.936305733,3828025.477707006,2414012.738853503,5184713.375796178,6987898.089171974,6861783.439490446,7443312.101910828,11691719.74522293,10710828.02547771,10689808.91719745,9857324.84076433,84148407.6433121,85352229.29936305,87054140.12738854,109735031.8471338,73689808.91719745,75431847.13375796,77249044.58598725,109194904.4585987,152229.2993630573,201273.8853503185,229299.3630573248,303821.6560509554,-74522.29299363057,598726.1146496815,1227388.535031847,540127.3885350318
403,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,0.0,5,4.333333333333333,0,0.0,3,0.0,0.0,0.0,131847.1337579618,4838853.503184713,4345222.929936306,4004458.598726114,2352229.299363057,4838853.503184713,4345222.929936306,4004458.598726114,2484076.433121019,13896178.34394904,16986624.20382166,25152229.29936305,10179617.8343949,40375796.17834394,48287898.08917198,50960509.55414013,48624203.82165605,6369.426751592357,6369.426751592357,6369.426751592357,6369.426751592357,13933757.96178344,14347133.75796178,15517834.39490446,13916560.50955414,28484076.43312101,34500636.94267516,34220382.16560509,34220382.16560509,28484076.43312101,34500636.94267516,34220382.16560509,34220382.16560509,1410191.082802548,1413375.796178344,1401273.885350318,1710828.025477707,1386624.203821656,2371974.522292993,3824840.76433121,1260509.554140127,2796815.286624204,3785350.318471337,5226114.649681528,2971337.579617834,129845222.9299363,148933121.0191083,190612101.910828,231209554.1401274,127716560.5095541,147731210.1910828,188507643.3121019,229678980.8917197,1654777.070063694,518471.3375796178,1463057.324840765,1435031.847133758,2128662.420382165,1201910.828025478,2104458.598726115,1530573.248407643
404,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,10,Х,Х,Х,Х,10,Х,30.0,4,1.515151515151515,0,0.0,99,0.0,0.0,0.0,0.0,91645222.9299363,89747133.75796178,164274522.2929936,173773248.4076433,92703184.7133758,90463057.32484075,165312738.8535032,174417834.3949045,66699363.05732484,349496815.2866242,404478980.8917198,683306369.4267516,114571974.522293,433930573.2484076,596298726.1146497,957694267.5159236,640127.3885350318,640127.3885350318,640127.3885350318,640127.3885350318,48414649.68152866,114316560.5095541,158095541.4012739,181060509.5541401,2858598.72611465,37291082.80254777,35123566.87898089,0.0,3022292.993630573,37300636.94267516,35148407.6433121,33121.01910828026,70394904.45859872,116473885.3503185,274875796.178344,367889808.9171975,85443949.04458599,256301910.8280254,291779617.8343949,579277707.0063694,155838853.5031847,372775796.178344,568367515.9235668,951018471.3375796,680829299.3630573,1824180891.719745,2499085987.261147,3977550318.471337,563561783.4394904,1562649044.585987,2098298089.171974,3549466242.038217,41528662.42038216,121861783.4394904,143604458.5987261,193523566.8789809,50949681.52866242,134727388.5350319,178568789.8089172,200704458.5987261
405,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,Х,Х,10.0,51,20.61111111111111,15,5682853.910828026,18,0.0,0.0,0.0,0.0,0.0,103184.7133757962,2744585.987261146,9891082.80254777,0.0,103184.7133757962,2744585.987261146,9891082.80254777,63694.26751592357,5714649.681528662,4112101.910828026,326114.6496815286,12144585.98726115,25536942.67515923,32206369.42675159,25090445.85987261,6369.426751592357,6369.426751592357,6369.426751592357,6369.426751592357,249044.5859872611,398089.1719745223,783439.4904458598,3628662.420382165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114649.6815286624,1952866.242038216,9830573.248407643,11410828.02547771,11780891.71974522,23289171.97452229,24336942.67515923,19942038.21656051,11895541.40127389,25242038.21656051,34167515.92356688,31352866.24203822,47358598.72611465,91154777.0700637,161078343.9490446,181240127.3885351,46542675.15923566,89218471.33757961,159796178.343949,176052866.2420382,144585.9872611465,185987.2611464968,722929.9363057325,4214012.738853503,815923.5668789808,1936305.732484076,1282165.605095541,5187261.146496815
406,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,10.0,19,2.96875,7,1678919.222929936,96,0.0,0.0,0.0,0.0,15487898.08917197,20136305.73248408,15909554.14012739,17950955.41401274,15487898.08917197,20136305.73248408,15909554.14012739,17950955.41401274,12191082.80254777,10774522.29299363,12279617.8343949,25744585.98726114,90386624.20382166,112517834.3949044,143000000.0,187008280.2547771,6369.426751592357,0.0,0.0,0.0,29917834.39490446,46984076.43312102,72794904.45859872,93300636.94267516,27487261.14649681,24787898.08917197,22877070.06369427,28928025.47770701,27487261.14649681,24812738.85350318,22895541.40127388,28942675.15923567,13244585.98726115,14650318.47133758,12543312.10191083,10671337.57961783,35225477.70700637,46206369.42675159,50675796.17834394,72044585.98726115,48469426.75159235,60856687.89808917,63219108.28025477,82715923.56687897,277040127.388535,321262420.3821656,436378343.9490446,485587898.089172,226927388.5350318,298096815.2866242,404516560.5095541,459031210.1910828,18843949.04458599,21371337.57961783,32282802.5477707,25657961.78343949,22581528.66242038,23165605.0955414,31861783.43949044,26556687.89808917
407,Х,Х,100,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,Х,Х,110.0,193,108.6666666666667,3,1200442.566878981,3,296798089.1719745,283141401.2738853,269494904.4585987,255849044.5859872,61397452.22929936,62428662.42038216,74162420.3821656,70496178.34394903,391631210.1910828,384993630.5732484,412121019.1082802,398326114.6496815,109226114.6496815,131345859.8726115,567255414.0127388,371554140.1273885,433782165.6050955,626487261.1464968,956570063.6942676,882459872.611465,248407643.3121019,248407643.3121019,248407643.3121019,248407643.3121019,374137579.6178344,446333757.9617834,541072611.4649681,550807643.3121018,198045222.9299363,318549681.5286624,108410191.0828026,0.0,198661146.4968153,319186624.2038217,112633121.0191083,10894267.51592357,159028025.477707,141754777.0700637,426608917.1974522,127396815.2866242,87491082.80254777,94767515.92356688,233754140.1273885,538750955.4140127,252614012.7388535,245960509.5541401,714985350.3184713,719084076.433121,773656050.9554139,891535668.7898089,1170905095.541401,826943949.044586,632372611.4649681,722564331.210191,927407643.3121018,749615286.6242038,24400000.0,90950318.47133756,118642038.2165605,14401910.82802548,53993630.57324841,73487898.08917198,134437579.6178344,-49359872.61146497
408,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,30,Х,Н/Д,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,10,Х,Х,Х,10,Х,Х,Х,Х,Х,Х,60.0,54,54.0,1,331591.178343949,1,29299.36305732484,1575159.23566879,1325477.707006369,1084713.375796178,107243312.1019108,120117197.4522293,118352229.299363,141044585.9872611,213584076.433121,238401273.8853503,248740764.3312102,274084713.3757961,79365605.0955414,101891082.8025478,110637579.6178344,102503184.7133758,157359872.6114649,190556687.8980892,197145859.8726114,249828662.4203821,3821.656050955414,3821.656050955414,3821.656050955414,3821.656050955414,136750955.4140127,165188535.0318471,210894904.4585987,211519745.2229299,4566242.03821656,2096815.286624204,31945859.87261146,27162420.3821656,4887261.146496815,2668152.866242038,38627388.53503185,28442675.15923567,36562420.3821656,35459235.6687898,81550955.41401273,152678980.8917197,191271974.522293,224356050.955414,112685987.2611465,129794267.5159236,229305732.4840764,261101273.8853503,196364331.2101911,283950955.4140128,342333757.9617834,220620382.1656051,341454140.1273885,204866242.0382166,164644585.9872611,151897452.2292994,218514012.7388535,189608917.1974522,120467515.9235669,31055414.01273885,62179617.8343949,-10329936.30573248,148247770.7006369,29200636.94267516,81445222.9299363,-27294904.45859873
409,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,10,Х,Х,Х,Х,Х,Х,20.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,28356050.95541401,57575159.23566879,42871974.52229299,55128025.47770701,28356050.95541401,57575159.23566879,42871974.52229299,55128025.47770701,39366878.98089172,108262420.3821656,125924203.821656,103480254.7770701,122688535.0318471,164436942.6751592,172728662.4203822,216926751.5923567,1592356.687898089,1592356.687898089,1592356.687898089,1592356.687898089,79149044.58598725,62765605.0955414,70478980.89171974,89243312.10191083,0.0,0.0,6369426.751592357,5095541.401273885,0.0,0.0,6369426.751592357,5095541.401273885,1733757.961783439,0.0,9554140.127388537,0.0,50253503.18471337,159246496.8152866,129198089.1719745,177715286.6242038,71895541.40127388,159246496.8152866,138752229.299363,177715286.6242038,248903821.6560509,571633121.0191083,288425477.7070063,586021656.0509554,213978343.9490446,527233757.9617834,294444585.9872611,557994904.4585987,30256050.95541401,39396178.34394904,10151592.3566879,23797452.22929936,34925477.70700637,44399363.05732484,-6019108.280254777,28026751.59235669
410,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,10.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,420382.1656050955,498726.1146496815,1004458.598726115,2275159.23566879,798726.1146496815,813375.7961783439,1202547.770700637,2332484.076433121,368789.8089171975,1724203.821656051,1343312.101910828,2110828.025477707,10107006.36942675,8716560.50955414,10140127.38853503,9712101.910828026,6369.426751592357,6369.426751592357,6369.426751592357,6369.426751592357,7917197.452229299,8439490.445859872,9399363.05732484,10493630.57324841,515923.5668789809,0.0,0.0,354140.127388535,521019.1082802548,15286.62420382166,28662.4203821656,383439.4904458599,0.0,636942.6751592356,0.0,0.0,2467515.923566879,438216.5605095541,1914649.681528662,1167515.923566879,2467515.923566879,1075159.23566879,1914649.681528662,1167515.923566879,18221656.05095541,31001910.82802548,37263694.26751592,44401273.88535032,12803184.7133758,23243312.10191083,29027388.53503185,35878343.94904459,-1971974.522292993,659872.6114649682,1205095.541401274,1398089.171974522,-1833121.01910828,761783.4394904458,1297452.229299363,1430573.248407643
411,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,10,Х,Х,Х,Х,Х,Х,20.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,126022292.9936306,89210828.0254777,70422292.99363057,53966878.98089172,127127388.5350318,90807643.3121019,77223566.87898089,68672611.46496814,306570700.6369427,787084713.3757962,813287898.0891719,639016560.5095541,457570063.6942675,1051688535.031847,1034915923.566879,1259894267.515924,3184713.375796178,3184713.375796178,3184713.375796178,3184713.375796178,87057961.78343949,146605732.4840764,176339490.4458599,209887898.089172,23161783.43949044,0.0,0.0,0.0,30656050.95541401,3966242.03821656,8126751.592356687,14981528.66242038,94625477.70700637,74008917.19745223,0.0,0.0,368485987.2611465,913166242.0382164,921791082.8025476,1097766878.980892,466984076.433121,991924203.821656,927673248.4076432,1103697452.229299,1161724203.821656,1659045859.872611,3319147770.700637,1032082165.605096,1083594904.458599,1578219745.22293,3251246496.815287,982559872.611465,21298089.17197452,13228025.47770701,37505095.54140128,42229936.30573248,32420382.16560509,32732484.07643312,14546496.81528662,12852866.24203822
